groupid,output
808,0.0390969
809,0.734712
810,0.399571
811,0.0055073
812,0.00114531
813,0.00671827
814,0.00799143
815,0.00495671
816,0.00410787
817,0.00805202
818,0.0111633
819,1
821,0.0572737
822,0.00448658
823,0.325003
824,0.991269
825,0.861368
827,0.986289
828,1
829,0.00658193
830,0.830489
831,0.00842614
832,0.00259932
833,0.225463
834,0.0183673
835,0.00959652
836,0.00724604
837,0.097675
838,0.115647
839,0.0127632
840,0.0215904
841,0.219533
842,0.109038
844,1
845,0.847791
846,0.000119532
847,0.0142469
848,0.000723281
849,0.0109265
850,0.0893925
851,0.00857293
855,0.00234977
856,0.00728396
857,0.0528224
858,0.00100638
859,0.0167286
860,0.115167
861,0.0113748
862,0.0349536
864,0.40529
865,0.00661674
866,0.029781
867,0.00503551
868,0.0594433
869,0.997889
870,0.110155
871,0.841766
872,0.958076
873,0.061887
874,0.0753874
875,0
876,0.00269288
877,0.00118059
878,0.0146134
879,0.0200349
880,0.0209851
881,0.0743436
884,0.0028157
885,0.00593443
886,0.00508241
887,0.0163309
888,0.00396398
889,0.0792628
890,0.55987
893,0.00132511
894,0.00218313
896,0.00230771
897,0.0398041
898,0.790114
899,0.04494
900,0.201879
901,0.00045053
902,0.00090923
903,0.0021874
904,0.00252627
905,0.0107023
906,0.0102747
907,0.0108344
908,0.00823448
909,0.0294911
910,0.0186515
911,0.101147
912,0.152634
913,0.0217907
914,0.982722
915,0.0961682
916,0.109365
917,0.573805
918,0.0165297
919,0.00133804
920,0.00858001
921,0.0130396
922,0.0275843
923,0.213144
924,0.0454615
926,0.00489993
927,0.000609327
928,0.0248735
929,0.00606363
930,0.0102955
931,0.00707586
932,0.0114786
933,0.0251764
934,0.0175209
935,0.00281331
936,0.0150185
937,0.0583523
938,0.0502902
939,0.0538666
940,0.0127118
941,0.00510074
942,0.0028589
943,0.00247263
944,0.014936
945,0.0106988
946,0.0227706
947,0.0229034
948,0.0694809
949,0.0330206
950,0.250917
951,1
952,0.24683
953,0.577316
954,0.0546181
956,0.421326
957,0.344196
958,0.672173
959,0.00395917
960,0.861307
961,0.00221133
962,1
963,0.00676169
964,0.0511645
966,0.0669649
967,1
969,0.00294794
971,0.0010174
972,0.00163421
973,0.0066985
975,0.107822
977,0.00166373
978,0.000157629
